ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.14-1
protobuf 3.5.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pyalpm 0.8.2-2
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-2
python 3.6.5-3
python-anytree 2.4.3-1
python-appdirs 1.4.3-1
python-cairo 1.17.0-1
python-chardet 3.0.4-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-idna 2.6-1
python-lxml 4.2.1-1
python-packaging 17.1-1
python-psutil 5.4.5-1
python-pycups 1.9.73-3
python-pycurl 7.43.0.1-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-2
python-pysmbc 1.0.15.8-1
python-regex 2018.02.21-1
python-requests 2.18.4-1
python-setuptools 1:39.1.0-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-termcolor 1.1.0-5
python-urllib3 1.22-1
python-xdg 0.25-4
python2 2.7.15-1
python2-cairo 1.17.0-1
python2-gnomekeyring 2.32.0-17
python2-gobject2 2.28.7-1
qpdf 8.0.2-1
qt5-base 5.10.1-8
qt5-styleplugins 5.0.0.20170311-5
qt5-svg 5.10.1-1
qt5ct 0.35-1
raptor 2.0.15-8
rasqal 1:0.9.33-2
re2 20180401-1
readline 7.0.003-1
redland 1:1.0.17-4
reflector 2018-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rpcbind 0.2.4-4
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.4-1
s-nail 14.9.10-1
sbc 1.3-1
screenfetch 3.8.0-2
sdl 1.2.15-9
sdl2 2.0.8-8
seahorse 3.20.0+288+gce2340dc-1
sed 4.5-1
shadow 4.5-4
shared-color-targets 0.1.7-1
shared-mime-info 1.9-1
sip 4.19.8-1
slang 2.3.2-1
smbclient 4.8.1-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-14
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.23.1-1
srt 1.3.0-2
startup-notification 0.12-5
sudo 1.8.23-2
sysfsutils 2.1.0-9
system-config-printer 1.5.11-2
systemd 238.76-1
systemd-sysvcompat 238.76-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.13-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.15-1
telepathy-glib 0.24.1-1
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-2
telepathy-mission-control 5.16.4-2
terminus-font 4.46-1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
totem 3.26.0+37+g84700147-1
totem-plparser 3.26.0+11+g0091a56-1
tracker 2.0.3-2
tracker-miners 2.0.4-2
transmission-gtk 2.94-1
tslib 1.16-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-2
ttf-google-fonts-typewolf 17.11.git+2e2caa2-1
ttf-liberation 2.00.1-7
ttf-monaco 6.1-3
twolame 0.3.13-8
tzdata 2018e-1
udisks2 2.7.6-1
unrar 1:5.6.4-1
unzip 6.0-12
upower 0.99.7-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.32-3
v4l-utils 1.14.2-1
vi 1:070224-2
vid.stab 1.1-1
volume_key 0.3.9-5
vte-common 0.52.1-1
vte3 0.52.1-1
vulkan-icd-loader 1.1.73.0-1
wavpack 5.1.0-2
wayland 1.15.0-1
wayland-protocols 1.14-1
webkit2gtk 2.20.2-1
webrtc-audio-processing 0.3-2
wget 1.19.5-1
which 2.21-2
whois 5.3.0-1
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
woff2 1.0.2-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
x265 2.7-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xclip 0.13-1
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.3-1
xf86-input-libinput 0.27.1-1
xf86-video-fbdev 0.4.4+13+g9af7f81-1
xf86-video-nouveau 1.0.15-3
xf86-video-vesa 2.4.0-2
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-3
xmlsec 1.2.25-1
xorg-appres 1.0.5-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-2
